Op,duration,Reg/Trd,Mem,Thread
conv2d,149728,160,160,145216
relu,7296,20,20,145216
max_pool2d,16703,26,26,145216
conv2d,387296,128,128,145216
relu,6080,20,20,145216
max_pool2d,11648,26,26,145216
conv2d,214848,126,126,145216
relu,4256,20,20,145216
conv2d,266720,126,126,145216
relu,3840,20,20,145216
conv2d,183360,126,126,145216
relu,3776,20,20,145216
max_pool2d,5376,26,26,145216
adaptive_avg_pool2d,18848,51,51,196608
dropout,4352,30,30,196608
linear,661280,64,6144,196608
relu,3520,20,20,196608
dropout,3840,30,30,196608
linear,297888,64,6144,196608
relu,3168,20,20,196608
linear,107265,64,4868,196608
